Part of Speech,values,percent
determiner,2918.0,0.13943042813455658
"noun, singular or mass",3700.0,0.1767966360856269
"verb, 3rd person singular present",714.0,0.03411697247706422
"adjective (English), other noun-modifier (Chinese)",1311.0,0.0626433486238532
"conjunction, subordinating or preposition",2715.0,0.12973050458715596
"verb, gerund or present participle",619.0,0.029577599388379203
"noun, plural",1355.0,0.06474579510703364
"verb, past participle",504.0,0.02408256880733945
"verb, non-3rd person singular present",764.0,0.03650611620795107
"adverb, particle",90.0,0.0043004587155963305
"conjunction, coordinating",593.0,0.028335244648318044
adverb,763.0,0.036458333333333336
"noun, proper singular",401.0,0.01916093272171254
"pronoun, possessive",723.0,0.03454701834862385
"pronoun, personal",1222.0,0.05839067278287462
"verb, modal auxiliary",397.0,0.01896980122324159
"verb, base form",1082.0,0.05170107033639144
"wh-pronoun, personal",60.0,0.0028669724770642203
possessive ending,111.0,0.005303899082568808
"verb, past tense",124.0,0.005925076452599388
"infinitival ""to""",326.0,0.015577217125382263
wh-determiner,243.0,0.011611238532110092
"noun, proper plural",1.0,4.7782874617737003e-05
existential there,15.0,0.0007167431192660551
"adverb, comparative",66.0,0.0031536697247706424
"adjective, comparative",49.0,0.002341360856269113
wh-adverb,22.0,0.001051223241590214
"adverb, superlative",3.0,0.00014334862385321102
cardinal number,24.0,0.0011467889908256881
predeterminer,4.0,0.00019113149847094801
interjection,4.0,0.00019113149847094801
"adjective, superlative",5.0,0.000238914373088685
total,20928.0,
